load_id,origin_city,origin_state,destination_city,destination_state,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weights,commodity_type
1,san francisco,california,las vegas,nevada,2025-09-15 07:29,2025-09-19 07:29,cranes,5505.05,"heavy load, confirm bridge clearance",15760,steel
2,denver,colorado,chicago,illinois,2025-09-09 07:29,2025-09-11 07:29,mining equipment,4366.91,delivery to mining site,14265,steel
3,memphis,tennessee,houston,texas,2025-09-12 07:29,2025-09-13 07:29,medical equipment,6064.33,"fragile, no stacking",11406,pharmaceuticals
4,atlanta,georgia,san francisco,california,2025-09-11 07:29,2025-09-12 07:29,construction machinery,7454.0,must deliver to construction site,15646,machinery
5,salt lake city,utah,boston,massachusetts,2025-09-11 07:29,2025-09-16 07:29,robotics/automation units,1874.23,"fragile, shock protection required",34236,paper goods
6,dallas,texas,st. louis,missouri,2025-09-15 07:29,2025-09-21 07:29,robotics/automation units,6856.57,"fragile, shock protection required",21107,paper goods
7,memphis,tennessee,seattle,washington,2025-09-15 07:29,2025-09-16 07:29,mining equipment,4022.75,"extra heavy, special trailer required",30755,steel
8,portland,oregon,phoenix,arizona,2025-09-08 07:29,2025-09-11 07:29,construction machinery,4875.92,must deliver to construction site,37105,steel
9,san francisco,california,chicago,illinois,2025-09-13 07:29,2025-09-15 07:29,farm equipment,7501.99,delivery to rural farm,42189,beverages
10,atlanta,georgia,boston,massachusetts,2025-09-13 07:29,2025-09-14 07:29,transformers,5918.63,special permits required,27649,steel
11,detroit,michigan,san francisco,california,2025-09-11 07:29,2025-09-18 07:29,medical equipment,6274.18,delivery to hospital dock only,40843,pharmaceuticals
12,denver,colorado,chicago,illinois,2025-09-11 07:29,2025-09-15 07:29,transformers,6981.97,special permits required,47702,steel
13,chicago,illinois,cleveland,ohio,2025-09-15 07:29,2025-09-21 07:29,generators,4475.5,requires crane at delivery,13905,machinery
14,san francisco,california,boston,massachusetts,2025-09-09 07:29,2025-09-10 07:29,mining equipment,1933.82,delivery to mining site,18568,steel
15,detroit,michigan,new york,new york,2025-09-13 07:29,2025-09-19 07:29,cranes,7100.69,escort vehicle mandatory,24736,steel
16,st. louis,missouri,minneapolis,minnesota,2025-09-07 07:29,2025-09-14 07:29,transformers,1299.76,needs escort vehicle,32453,steel
17,denver,colorado,cleveland,ohio,2025-09-15 07:29,2025-09-17 07:29,transformers,4603.66,needs escort vehicle,38869,steel
18,salt lake city,utah,st. louis,missouri,2025-09-07 07:29,2025-09-09 07:29,generators,3164.35,"fragile, handle with care",42752,machinery
19,detroit,michigan,miami,florida,2025-09-08 07:29,2025-09-10 07:29,transformers,7804.5,"high-value, insurance required",26569,steel
20,atlanta,georgia,portland,oregon,2025-09-13 07:29,2025-09-14 07:29,construction machinery,1464.64,must deliver to construction site,47866,machinery
21,houston,texas,denver,colorado,2025-09-08 07:29,2025-09-09 07:29,medical equipment,4646.61,delivery to hospital dock only,12122,electronics
22,miami,florida,st. louis,missouri,2025-09-13 07:29,2025-09-18 07:29,robotics/automation units,7411.81,"fragile, shock protection required",38682,electronics
23,atlanta,georgia,cleveland,ohio,2025-09-13 07:29,2025-09-17 07:29,hvac units,4752.31,forklift required at delivery,39321,electronics
24,portland,oregon,las vegas,nevada,2025-09-11 07:29,2025-09-17 07:29,cranes,5485.66,"heavy load, confirm bridge clearance",11439,machinery
25,denver,colorado,atlanta,georgia,2025-09-12 07:29,2025-09-13 07:29,cranes,3537.98,escort vehicle mandatory,28920,machinery
26,houston,texas,atlanta,georgia,2025-09-10 07:29,2025-09-13 07:29,generators,3933.91,requires crane at delivery,36887,electronics
27,phoenix,arizona,atlanta,georgia,2025-09-07 07:29,2025-09-13 07:29,construction machinery,1459.27,"oversized load, permits needed",8349,steel
28,atlanta,georgia,portland,oregon,2025-09-14 07:29,2025-09-15 07:29,robotics/automation units,2797.52,"fragile, shock protection required",37055,electronics
29,new york,new york,detroit,michigan,2025-09-09 07:29,2025-09-11 07:29,farm equipment,3290.94,"handle carefully, sensitive hydraulics",27741,beverages
30,memphis,tennessee,denver,colorado,2025-09-09 07:29,2025-09-15 07:29,transformers,1716.18,"high-value, insurance required",12068,steel
31,dallas,texas,san francisco,california,2025-09-06 07:29,2025-09-09 07:29,hvac units,3754.2,do not stack units,20952,paper goods
32,cleveland,ohio,salt lake city,utah,2025-09-11 07:29,2025-09-14 07:29,medical equipment,2605.85,delivery to hospital dock only,11309,pharmaceuticals
33,miami,florida,cleveland,ohio,2025-09-13 07:29,2025-09-19 07:29,mining equipment,6569.27,requires unloading with crane,13897,machinery
34,portland,oregon,las vegas,nevada,2025-09-07 07:29,2025-09-12 07:29,generators,7590.05,secure load with chains,16740,electronics
35,los angeles,california,miami,florida,2025-09-15 07:29,2025-09-21 07:29,medical equipment,4832.36,"fragile, no stacking",13257,pharmaceuticals
36,cleveland,ohio,las vegas,nevada,2025-09-06 07:29,2025-09-09 07:29,construction machinery,3881.48,"oversized load, permits needed",35389,machinery
37,seattle,washington,minneapolis,minnesota,2025-09-07 07:29,2025-09-13 07:29,farm equipment,2173.38,requires unloading assistance,46015,produce
38,detroit,michigan,memphis,tennessee,2025-09-15 07:29,2025-09-21 07:29,construction machinery,1696.26,requires flatbed with ramps,34082,machinery
39,portland,oregon,seattle,washington,2025-09-08 07:29,2025-09-09 07:29,wind turbines,5720.47,"oversized load, route survey required",29886,steel
40,salt lake city,utah,seattle,washington,2025-09-07 07:29,2025-09-13 07:29,hvac units,2079.25,do not stack units,10756,electronics
41,cleveland,ohio,st. louis,missouri,2025-09-07 07:29,2025-09-13 07:29,robotics/automation units,1659.17,delivery to tech facility only,14909,electronics
42,dallas,texas,seattle,washington,2025-09-15 07:29,2025-09-21 07:29,farm equipment,2313.89,"handle carefully, sensitive hydraulics",16707,produce
43,phoenix,arizona,los angeles,california,2025-09-06 07:29,2025-09-07 07:29,construction machinery,4734.81,must deliver to construction site,35496,steel
44,houston,texas,dallas,texas,2025-09-11 07:29,2025-09-13 07:29,transformers,4755.41,special permits required,44076,machinery
